"Project:","Unnamed Project"
"User:","Rockwell Automation"
"Data item:","Record 18"
"Run date:",06/24/2024
"Options:",YDT   ,1

Time,Observation
14.842852952764,9.6460744407968
20.872103646865,15.615886448707
26.360094087179,21.309223296778
32.309905375423,27.030814530916
43.955097841022,38.918426270665
60.544363048505,55.264035374362
66.471597809978,61.216524112991
72.571603891981,67.328173474993
78.422853243095,73.205053475361
84.301871543298,79.210986226983
90.13389501082,85.062930212511
97.560996221197,92.304315403001
103.48544021404,98.330413106205
108.97453876784,104.08847537242
115.16265709564,110.11626683425
121.08281602321,115.9360895661
126.78568866364,121.71031410768
132.62514697529,127.53484365354
138.43291930207,133.26129372586
144.2017598622,138.91604543808
150.05171859286,144.92278225666
157.5257711322,152.50455618748
163.30772600331,158.29142913916
169.23483337137,164.05383677646
174.99504648703,169.72397106141
191.10005582031,185.93955296877
206.35922482593,201.34411735988
212.13921004026,207.00642546681
218.13848981386,212.88087553444
223.86910474457,218.69043533362
231.40910803591,226.33796373389
236.88090946901,231.99972734301
242.76561929724,237.65483088864
248.76934434076,243.62817728736
254.81193977221,249.63342560277
260.7359337396,255.57241851816
277.39504632618,272.22027100457
283.30070303851,278.14892585227
289.00573618851,284.01231666082
296.23769197757,291.15802607613
303.23025102007,298.2361915093
320.75193381619,315.60300701543
336.12966494525,330.98301299289
341.87110526651,336.78127031335
347.39680867195,342.46198056047
353.39369452479,348.20403135117
370.60004515922,365.50566667196
376.55883818346,371.34537173206
382.16409729139,377.04252137708
387.92466489082,382.88922324969
398.46585400753,393.42530121356
418.9204591388,413.74651074045
424.59925609293,419.47390774649
430.51137894888,425.50039527102
439.76811531084,434.56450070042
445.50817351379,440.27714532366
451.22581036732,445.97015702266
456.78898973834,451.64467020158
462.29874394237,457.36083081808
487.77240036958,482.65818509838
493.57047084941,488.62868185818
499.64532580121,494.46652746361
505.43868408454,500.37897878895
511.38574609063,506.26001396739
538.64627222735,533.535467548
584.92314027156,579.77084337249
590.80981297848,585.59581701161
596.75048303482,591.61513753841
602.61310346851,597.60916792624
608.64003213775,603.59923694518
614.43526271141,609.32134743175
620.48298073382,615.27352742929
626.15753409767,621.02271235821
631.78293640946,626.71152577495
637.80004990302,632.65261695326
643.71502334606,638.58007612945
658.7634252469,653.91519919673
664.97248792855,659.88905760925
670.73983898735,665.57251419846
676.2725742439,671.24076528276
682.17821165394,677.1453438834
687.94594834031,682.92351551796
694.16612174941,688.90619053473
699.97752819009,694.89926204347
705.90727306899,700.80702696206
711.79369604843,706.77678298638
717.52516610764,712.60232025449
723.60891389473,718.53347636266
729.71188984144,724.56269419829
735.56524700118,730.490245963
741.38013970281,736.40830224707
747.18173071138,742.11034024239
753.11930500105,747.93385536459
758.6707934345,753.65591317002
764.37441906896,759.37723955487
781.49090419534,776.55822378213
787.54409111346,782.44570263031
793.45779668097,788.26900692442
802.50876734823,797.51001164758
808.52037757214,803.42532532738
814.40188051111,809.14128529731
845.42340222668,840.35726820837
851.19987496556,846.11757236241
857.03558573312,852.04244696503
868.29323285543,863.32820450201
874.16683489118,869.02969234335
883.51634954599,878.41190696801
910.81451639519,905.80836816121
918.57276043751,913.47991652743
924.21742124958,919.28761105909
930.47292756496,925.21586025841
936.06975870973,930.96633858984
942.08112870596,936.97581984634
947.95796689824,942.8398834232
953.77511354561,948.70037552566
959.6515227192,954.56604330653
965.53148274029,960.5442545035
971.45782759663,966.39211733889
977.34014346146,972.299266274
983.8623657105,978.8216297392
989.73719064036,984.71439705358
995.72858205485,990.63387892746
1001.75143489,996.40822568646
1007.5833956748,1002.3535879377
1013.2671092289,1008.1739416426
1019.1434533174,1014.0249489826
1024.7192626342,1019.6952168879
1030.5323360445,1025.3902561375
1036.2641489673,1031.1115812256
1042.2719285169,1037.0364110427
1049.6905767376,1044.4935139549
1058.1983026582,1053.0713018905
1067.5625659111,1062.4828841132
1073.2168369396,1068.2758663317
1079.0407006167,1073.987381092
1084.6810352994,1079.7005956221
1090.476608511,1085.4559598935
1104.6620007584,1099.5243275549
1110.6181840111,1105.4142157212
1116.3307943398,1111.1647557314
1121.8934963586,1116.9187090787
1127.9694204892,1122.8607639783
1133.6667509814,1128.5288091707
1139.2379817038,1134.2194821775
1145.3527571486,1140.1517984679
1150.902258177,1145.8441728168
1156.8711581692,1151.6472364855
1164.2590950581,1159.1137197023
1169.880392518,1164.8188818605
1181.1835848888,1176.0761022118
1188.8996331201,1183.9467446202
1199.5943966238,1194.5395389109
1205.5703666037,1200.5550159815
1211.2822858158,1206.3355842479
1217.4587863715,1212.3512783838
1223.1897173039,1218.101545233
1229.1848182012,1224.0795916631
1235.2239315228,1230.0905129708
1240.9292993862,1235.7567727683
1246.4684508814,1241.5944397992
1252.6125176587,1247.5311572058
1258.7031961497,1253.5202257242
1265.3003094562,1260.2768495525
1271.0795118006,1265.9494558147
1277.0639915972,1271.8928770078
1282.9192188788,1277.7798255517
1288.7053061605,1283.4991682402
1294.3762874597,1289.3316522398
1300.376825391,1295.1724347533
1306.2919581115,1301.1089074393
1311.8723405039,1306.8667559167
1341.038405463,1335.796334917
1346.683978558,1341.5622368776
1370.3199618408,1365.1873495453
1376.2763394737,1371.1864792208
1381.8061609822,1376.9641606481
1388.0434984568,1382.8732548049
1393.8313299194,1388.852864466
1399.7014812354,1394.6628599118
1405.6884786275,1400.6572637658
1411.2658702286,1406.3075174138
1417.2305182541,1412.1945132628
1425.8154970309,1420.7523497889
1434.5206575709,1429.3890889842
1462.2691165483,1457.2172049534
1468.0925028739,1462.9070774317
1506.5866496112,1501.5145185901
1517.3830720892,1512.3899113455
1523.4066681914,1518.2065098181
1529.336283055,1524.168781909
1535.4428507227,1530.3594954445
1547.1258342778,1541.958456192
1553.0405546039,1547.9365792876
1558.884430594,1553.8673207181
1592.6335834152,1587.5961765954
1598.5332028428,1593.4082780905
1604.4598828824,1599.3397431279
1610.4552752665,1605.3270533514
1616.2692327505,1611.0510158694
1622.0231723489,1616.9456870453
1639.0494812117,1633.797435942
1651.2907293552,1646.2725916144
1658.0835121802,1653.0571999403
1680.1739687951,1674.9959950313
1686.1623723593,1680.9788136818
1691.9970028008,1686.9684474419
1697.987424695,1692.8488255606
1703.90905412,1698.811579131
1709.714694884,1704.6903314039
1715.3909577316,1710.382895407
1721.2798457956,1716.0578820796
1727.060168084,1721.9459905075
1733.0015559274,1727.8065877377
1739.016743889,1733.7735074179
1744.7602098922,1739.6236628432
1750.4396278004,1745.3331467076
1756.4749557616,1751.2946641103
1762.266993017,1756.9998465967
1767.8153293465,1762.8108680176
1773.8731655389,1768.6188519299
1779.5341192694,1774.4005665766
1785.25633705,1780.1371213367
1791.0890519309,1786.0586524901
1797.054554119,1791.9905662866
1802.9965308968,1797.9374836707
1808.970338993,1803.9626783262
1815.0679423892,1809.8721292053
1820.6402668862,1815.650027889
1826.6939734136,1821.5660162494
1832.5440744856,1827.2633903978
1846.2165583572,1841.0514514921
1854.8908013989,1849.7003558935
1860.4720332206,1855.3582867305
1866.5570038435,1861.343779233
1871.9786482512,1867.0473036236
1877.9615000715,1872.8923099751
1885.6509089621,1880.5530259974
1891.3262075868,1886.2075281273
1897.1060403705,1891.8600674114
1902.6087479378,1897.6219839187
1908.7215209422,1903.4877310124
1914.5155863551,1909.4290168103
-1,-1
