"Project:","Unnamed Project"
"User:","Rockwell Automation"
"Data item:","Record 27"
"Run date:",06/24/2024
"Options:",YDT   ,1

Time,Observation
43.985991953838,34.738189353562
59.319725049249,50.049063581847
74.566607847043,65.364721761295
89.785162492702,80.560853846597
104.9713730039,95.776976284439
120.35104610285,111.15943391507
135.66294942624,126.47208620071
150.91318271023,141.81163096219
166.25317368347,157.1162703019
181.74045013571,172.49433907943
197.35132366299,188.0077298433
212.44323066657,203.28220419507
227.95412398342,218.72684889373
243.35228404473,233.99905840004
258.37347429732,249.21953660059
273.60097013335,264.40952274741
288.92243803383,279.62606995087
304.10719057164,295.0164304607
319.61271173542,310.38855540556
334.88958850998,325.65389351986
350.17874912948,341.04836652088
365.4165921091,356.31005540443
380.79281708485,371.55487110712
395.97733849328,386.77472248565
411.26982159986,402.05011019508
426.61275704277,417.41219838998
441.87739266673,432.74287688101
457.25200505443,448.02077814271
472.31250868066,463.18490670609
487.54188972163,478.30901811351
502.68967144233,493.56112546743
517.85316265767,508.67110414416
533.09078947549,523.87612448334
548.09389130483,538.89590125329
563.48289024091,554.17728306529
578.70023964652,569.50909781076
593.86691956251,584.72370515424
609.08756473913,599.8689980514
624.49720410292,615.14808424845
639.59942165963,630.37796409672
654.93389098951,645.73215612502
670.34863289195,661.1635501349
685.77279333269,676.51167717977
701.12741448516,691.85381582593
716.40360888787,707.17916025477
731.67443863079,722.39543070065
746.78440312086,737.48804932671
762.14079268477,752.90653361699
777.23499705646,768.09314067843
792.51539605979,783.23942351537
807.71956107857,798.53554216958
822.95139758444,813.74055580226
838.09408745234,828.91926858082
853.38669750552,844.17202747573
868.59945291075,859.45347842708
883.92244685845,874.71415873455
898.92662514616,889.79628834005
914.04003445742,904.9171769488
929.2859850132,920.11029880475
944.65923128796,935.35497712008
959.80102423317,950.57293788374
974.98457264981,965.76081898744
990.21088842106,981.04638877412
1005.447512697,996.33411654748
1020.5270107066,1011.3572250536
1035.635364695,1026.5360013999
1051.0266849755,1041.745808428
1066.207528463,1056.9753939389
1081.4843804091,1072.2360698081
1096.7818800409,1087.5367722871
1112.0695400205,1102.8804134893
1127.4585536762,1118.2179812059
1142.7375142662,1133.5238094329
1158.0668475994,1148.7504764102
1173.3490336993,1164.1083691729
1188.6396534628,1179.404966416
1203.9206277227,1194.7370098317
1219.3129645344,1210.0662386046
1234.3050441686,1225.2153405417
1249.7146729183,1240.4345140891
1265.0292173873,1255.7541982108
1280.2519398194,1271.0228440116
1295.4511462026,1286.1956264355
1310.5071532401,1301.2684010188
1325.7889425351,1316.5233057717
1341.1000575743,1331.9067589134
1356.1914931483,1347.0370233644
1371.5305699149,1362.2407551542
1386.6825704716,1377.4988091809
1402.1361368055,1392.9182600821
1417.4000429773,1408.1337855821
1432.3870320339,1423.2685852171
1447.6082878107,1438.4007190604
1462.770377179,1453.5640423554
1477.9517231784,1468.7237635384
1493.1853370551,1484.0642908088
1508.460032926,1499.3377083434
1523.8601498139,1514.589057335
1539.3040236801,1530.0530266237
1554.4357811158,1545.2680485302
1569.7322322731,1560.467048904
1585.0915933656,1575.8884856182
1600.2727731649,1591.1072154492
1615.5951681427,1606.414772922
1630.9967236188,1621.7734168186
1646.1676968639,1636.9464069084
1661.4678191898,1652.2194968779
1676.6123956951,1667.4561192123
1691.948407997,1682.7098164064
1707.0953861172,1697.8830933952
1722.2595945804,1713.0818825638
1737.3112624443,1728.2472098632
1752.5913724281,1743.4089534827
1767.9779532131,1758.7684933817
1783.3102668365,1774.1580431659
1798.5460637478,1789.3172624029
1813.945953204,1804.7287063039
1829.3128930739,1820.0744218184
1844.5596885274,1835.2787263317
1859.9527137106,1850.7122023036
1875.0912585754,1865.9212878065
1890.2393896636,1881.0473699856
1905.6132918648,1896.4061331198
-1,-1
