"Project:","Unnamed Project"
"User:","Rockwell Automation"
"Data item:","Record 15"
"Run date:",06/24/2024
"Options:",YDT   ,1

Time,Observation
9.6460744407968,3.9738836463555
15.615886448707,9.6460744407968
21.309223296778,15.615886448707
27.030814530916,21.309223296778
38.918426270665,32.948758203081
55.264035374362,49.363904763729
61.216524112991,55.264035374362
67.328173474993,61.562316161533
73.205053475361,67.328173474993
79.210986226983,73.205053475361
85.062930212511,79.210986226983
92.304315403001,86.300201223662
98.330413106205,92.304315403001
104.08847537242,98.330413106205
110.11626683425,104.08847537242
115.9360895661,110.11626683425
121.71031410768,115.9360895661
127.53484365354,121.71031410768
133.26129372586,127.53484365354
138.91604543808,133.26129372586
144.92278225666,138.91604543808
152.50455618748,146.53880335714
158.29142913916,152.50455618748
164.05383677646,158.29142913916
169.72397106141,164.05383677646
185.93955296877,180.25367148056
201.34411735988,195.46573113971
207.00642546681,201.34411735988
212.88087553444,207.00642546681
218.69043533362,212.88087553444
226.33796373389,220.61765277619
231.99972734301,226.33796373389
237.65483088864,231.99972734301
243.62817728736,237.65483088864
249.63342560277,243.62817728736
255.57241851816,249.63342560277
272.22027100457,266.26515472692
278.14892585227,272.22027100457
284.01231666082,278.14892585227
291.15802607613,285.15046756668
298.2361915093,292.3992667486
315.60300701543,309.69003441333
330.98301299289,325.02371627772
336.78127031335,330.98301299289
342.46198056047,336.78127031335
348.20403135117,342.46198056047
365.50566667196,359.55246770523
371.34537173206,365.50566667196
377.04252137708,371.34537173206
382.88922324969,377.04252137708
393.42530121356,387.57372305396
413.74651074045,408.07827228295
419.47390774649,413.74651074045
425.50039527102,419.47390774649
434.56450070042,428.56007755403
440.27714532366,434.56450070042
445.97015702266,440.27714532366
451.64467020158,445.97015702266
457.36083081808,451.64467020158
482.65818509838,476.97966001549
488.62868185818,482.65818509838
494.46652746361,488.62868185818
500.37897878895,494.46652746361
506.26001396739,500.37897878895
533.535467548,527.78158588758
579.77084337249,573.78252282003
585.59581701161,579.77084337249
591.61513753841,585.59581701161
597.60916792624,591.61513753841
603.59923694518,597.60916792624
609.32134743175,603.59923694518
615.27352742929,609.32134743175
621.02271235821,615.27352742929
626.71152577495,621.02271235821
632.65261695326,626.71152577495
638.58007612945,632.65261695326
653.91519919673,648.09276702956
659.88905760925,653.91519919673
665.57251419846,659.88905760925
671.24076528276,665.57251419846
677.1453438834,671.24076528276
682.92351551796,677.1453438834
688.90619053473,682.92351551796
694.89926204347,688.90619053473
700.80702696206,694.89926204347
706.77678298638,700.80702696206
712.60232025449,706.77678298638
718.53347636266,712.60232025449
724.56269419829,718.53347636266
730.490245963,724.56269419829
736.40830224707,730.490245963
742.11034024239,736.40830224707
747.93385536459,742.11034024239
753.65591317002,747.93385536459
