"Project:","Unnamed Project"
"User:","Rockwell Automation"
"Data item:","Record 33"
"Run date:",06/24/2024
"Options:",YDT   ,1

Time,Observation
52.135586682487,46.046099283354
67.631297629731,61.414266165885
82.683330231094,76.622400325769
98.069626024887,92.027204514942
113.12614434881,107.10329599886
128.66589006184,122.45612646825
144.09568974625,137.8529500277
159.07198603358,153.03085950917
174.57255906061,168.3785718138
189.98292613431,183.89201605073
205.53087318877,199.47986885333
220.71916693271,214.54260954015
236.33661526036,230.1350813096
251.47654780721,245.5451449697
266.63709725701,260.58535663033
282.07046912084,275.82941937573
297.3071080811,291.1122925556
312.4743455895,306.27537388841
327.78690346715,321.74543423895
343.23449039996,337.0177465083
358.44581884399,352.3175507493
373.60593393284,367.59148938926
389.09136101722,382.93904707197
404.19002643525,398.05841150193
419.59214016327,413.46758225232
434.80616006482,428.78344167565
450.25067923121,444.04707026932
465.55157746242,459.36379428552
480.56868872236,474.55181662778
495.92037854123,489.71659823563
510.87102183449,504.85640376879
526.21087168373,519.9994670592
541.43167949634,535.29137509778
556.38484394329,550.2910952464
571.67350309616,565.6459781249
587.11342791684,580.93346322388
602.16349892428,596.05964596428
617.21463591684,611.25934680078
632.69375641658,626.68733720995
647.80765647332,641.73900188647
663.07468242232,657.10968365142
678.67877958407,672.45981002555
693.90401875049,687.91770066643
709.45350074673,703.17892944754
724.62619888094,718.54712988422
739.86347325996,733.81378979669
755.05021889219,748.99938156736
770.55882600868,764.26763050535
785.68069293463,779.4268682944
800.79148738894,794.81735911174
815.69324790211,809.78459169077
831.14745379861,825.04008740444
846.44261076671,840.29924725391
861.67936648924,855.5100860585
876.7841276113,870.69397986868
891.93216499233,886.04711226249
907.19564522321,901.19597084541
922.25473899441,916.13159675795
937.53804732902,931.36794988985
953.01063050429,946.86983532819
968.03951033837,962.01586675821
983.20907726816,977.12462527916
998.41970283466,992.38270809337
1013.7698875486,1007.6206189689
1029.0111911755,1022.7249360706
1043.7702021,1037.7712272301
1059.2578940102,1053.2278796754
1074.4543818287,1068.38018571
1089.7969296209,1083.6743530865
1105.1214525188,1098.9724597888
1120.3442421913,1114.2180587098
1135.5511322803,1129.6070557523
1151.1266149057,1144.9494398602
1166.3167292672,1160.275345885
1181.4753664582,1175.4176306715
1196.8299438814,1190.8384025546
1212.4252588692,1206.1307807924
1227.5805416344,1221.4375011971
1242.6081496874,1236.4706822605
1258.157091354,1251.848986341
1273.3601027254,1267.1588354833
1288.5517035289,1282.4205744899
1303.553689803,1297.5997913673
1318.8827178248,1312.6544918888
1334.2068579563,1328.0089267776
1349.368288412,1343.2502476218
1364.353186198,1358.3730228649
1379.7552763342,1373.6605253778
1394.9684193849,1388.9060605013
1410.4230983195,1404.3477640903
1425.5497511483,1419.5031333911
1440.525258563,1434.5176172451
1455.9300610217,1449.7943327937
1471.1893190049,1464.9209799767
1486.2454519717,1480.1450124622
1501.4758198164,1495.4220135683
1516.6446218612,1510.6550558001
1532.1543205297,1526.0149950308
1547.3973775767,1541.3293867948
1562.6932334802,1556.615175644
1577.8463616201,1571.8880761626
1593.4175227708,1587.3033806088
1608.6476155589,1602.4074186869
1623.9514987502,1617.7494145544
1639.2960255533,1633.0924081937
1654.4057247252,1648.3191781482
1669.6339090507,1663.6375976988
1684.8703082188,1678.8300977738
1700.2330072532,1694.1218326657
1715.3416918176,1709.3126269316
1730.4123180473,1724.4121578029
1745.5220056845,1739.3794892218
1760.8966353813,1754.802393071
1776.1967931736,1770.1547257001
1791.5423341511,1785.4744420751
1806.8642824339,1800.6613615008
1822.3674918697,1816.1631075759
1837.5191710284,1831.4205239604
1852.8264981622,1846.8017118803
1868.1413536711,1862.1134229706
1883.3486844328,1877.2240630167
1898.364658318,1892.3674252209
1913.805572808,1907.755786773
-1,-1
